#STN       LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text      deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
46036    48.360 -133.940 2024 10 18 23 00 250  12.0  15.0  4.4  MM   MM  MM 1004.5  +1.3    MM    MM    MM   MM     MM
46041    47.352 -124.739 2024 10 18 23 00 160  12.0  18.0   MM  MM   MM  MM 1016.4  -2.5  12.4    MM    MM   MM     MM
46047    32.388 -119.525 2024 10 18 23 00 310   5.0   7.0   MM  MM   MM  MM 1014.5  -0.6  18.3  18.9  15.8   MM     MM
46050    44.669 -124.546 2024 10 18 23 00 170  10.0  12.0   MM  MM   MM  MM 1023.3  -0.6  13.5  15.3    MM   MM     MM
46053    34.241 -119.839 2024 10 18 23 00 270   5.0   7.0   MM  MM   MM  MM 1013.8  -0.5  18.2  18.2  12.0   MM     MM
46054    34.274 -120.468 2024 10 18 23 00 310   8.0  11.0   MM  MM   MM  MM 1014.5  -0.6    MM  16.8    MM   MM     MM
46060    60.571 -146.795 2024 10 18 22 50 340   3.0   5.0  0.6   5  3.8   9  998.3  -1.0   4.7    MM    MM   MM     MM
46061    60.230 -146.837 2024 10 18 23 00 330  12.0  15.0   MM  MM   MM  MM  998.7  -1.0    MM   9.9    MM   MM     MM
46069    33.677 -120.213 2024 10 18 23 00 320   7.0   9.0   MM  MM   MM  MM 1014.7  -0.3  16.9  17.4  11.5   MM     MM
46071    51.040  179.764 2024 10 18 23 00 160   7.0   9.0   MM  MM   MM  MM 1022.5  -0.4   6.9    MM   3.4   MM     MM
46072    51.645 -172.145 2024 10 18 23 00  MM   0.0   1.0   MM  MM   MM  MM 1024.9  +0.0   5.1   7.0   2.7   MM     MM
